RCA,Pumice,Cement,Packing,,,,,,,,,,
0.00 ,0.00 ,1.00 , 0.600 ,,,,,,,,,,
0.00 ,0.05 ,0.95 , 0.612 ,,,,,,,,,,
0.00 ,0.10 ,0.90 , 0.624 ,,,,,,,,,,
0.00 ,0.15 ,0.85 , 0.637 ,,,,,,,,,,
0.00 ,0.20 ,0.80 , 0.650 ,,,,,,,,,,
0.00 ,0.25 ,0.75 , 0.664 ,,,,,,,,,,
0.00 ,0.30 ,0.70 , 0.679 ,,,,,,,,,,
0.00 ,0.35 ,0.65 , 0.694 ,,,,,,,,,,
0.00 ,0.40 ,0.60 , 0.710 ,,,,,,,,,,
0.00 ,0.45 ,0.55 , 0.727 ,,,,,,,,,,
0.00 ,0.50 ,0.50 , 0.744 ,,,,,,,,,,
0.00 ,0.55 ,0.45 , 0.763 ,,,,,,,,,,
0.00 ,0.60 ,0.40 , 0.782 ,,,,,,,,,,
0.00 ,0.65 ,0.35 , 0.802 ,,,,,,,,,,
0.00 ,0.70 ,0.30 , 0.808 ,,,,,,,,,,
0.00 ,0.75 ,0.25 , 0.764 ,,,,,,,,,,
0.00 ,0.80 ,0.20 , 0.724 ,,,,,,,,,,
0.00 ,0.85 ,0.15 , 0.689 ,,,,,,,,,,
0.00 ,0.90 ,0.10 , 0.656 ,,,,,,,,,,
0.00 ,0.95 ,0.05 , 0.627 ,,,,,,,,,,
0.00 ,1.00 ,0.00 , 0.600 ,,,,,,,,,,
0.05 ,0.05 ,0.90 , 0.625 ,,,,,,,,,,
0.05 ,0.10 ,0.85 , 0.637 ,,,,,,,,,,
0.05 ,0.15 ,0.80 , 0.651 ,,,,,,,,,,
0.05 ,0.20 ,0.75 , 0.665 ,,,,,,,,,,
0.05 ,0.25 ,0.70 , 0.679 ,,,,,,,,,,
0.05 ,0.30 ,0.65 , 0.695 ,,,,,,,,,,
0.05 ,0.35 ,0.60 , 0.711 ,,,,,,,,,,
0.05 ,0.40 ,0.55 , 0.727 ,,,,,,,,,,
0.05 ,0.45 ,0.50 , 0.745 ,,,,,,,,,,
0.05 ,0.50 ,0.45 , 0.763 ,,,,,,,,,,
0.05 ,0.55 ,0.40 , 0.783 ,,,,,,,,,,
0.05 ,0.60 ,0.35 , 0.803 ,,,,,,,,,,
0.05 ,0.65 ,0.30 , 0.824 ,,,,,,,,,,
0.05 ,0.70 ,0.25 , 0.779 ,,,,,,,,,,
0.05 ,0.75 ,0.20 , 0.738 ,,,,,,,,,,
0.05 ,0.80 ,0.15 , 0.701 ,,,,,,,,,,
0.05 ,0.85 ,0.10 , 0.667 ,,,,,,,,,,
0.05 ,0.90 ,0.05 , 0.637 ,,,,,,,,,,
0.05 ,0.95 ,0.00 , 0.609 ,,,,,,,,,,
0.10 ,0.00 ,0.90 , 0.625 ,,,,,,,,,,
0.10 ,0.05 ,0.85 , 0.638 ,,,,,,,,,,
0.10 ,0.10 ,0.80 , 0.651 ,,,,,,,,,,
0.10 ,0.15 ,0.75 , 0.665 ,,,,,,,,,,
0.10 ,0.20 ,0.70 , 0.680 ,,,,,,,,,,
0.10 ,0.25 ,0.65 , 0.695 ,,,,,,,,,,
0.10 ,0.30 ,0.60 , 0.711 ,,,,,,,,,,
0.10 ,0.35 ,0.55 , 0.728 ,,,,,,,,,,
0.10 ,0.40 ,0.50 , 0.745 ,,,,,,,,,,
0.10 ,0.45 ,0.45 , 0.764 ,,,,,,,,,,
0.10 ,0.50 ,0.40 , 0.783 ,,,,,,,,,,
0.10 ,0.55 ,0.35 , 0.803 ,,,,,,,,,,
0.10 ,0.60 ,0.30 , 0.825 ,,,,,,,,,,
0.10 ,0.65 ,0.25 , 0.794 ,,,,,,,,,,
0.10 ,0.70 ,0.20 , 0.752 ,,,,,,,,,,
0.10 ,0.75 ,0.15 , 0.713 ,,,,,,,,,,
0.10 ,0.80 ,0.10 , 0.679 ,,,,,,,,,,
0.10 ,0.85 ,0.05 , 0.647 ,,,,,,,,,,
0.10 ,0.90 ,0.00 , 0.619 ,,,,,,,,,,
0.15 ,0.00 ,0.85 , 0.638 ,,,,,,,,,,
0.15 ,0.05 ,0.80 , 0.652 ,,,,,,,,,,
0.15 ,0.10 ,0.75 , 0.666 ,,,,,,,,,,
0.15 ,0.15 ,0.70 , 0.680 ,,,,,,,,,,
0.15 ,0.20 ,0.65 , 0.696 ,,,,,,,,,,
0.15 ,0.25 ,0.60 , 0.712 ,,,,,,,,,,
0.15 ,0.30 ,0.55 , 0.728 ,,,,,,,,,,
0.15 ,0.35 ,0.50 , 0.746 ,,,,,,,,,,
0.15 ,0.40 ,0.45 , 0.764 ,,,,,,,,,,
0.15 ,0.45 ,0.40 , 0.784 ,,,,,,,,,,
0.15 ,0.50 ,0.35 , 0.804 ,,,,,,,,,,
0.15 ,0.55 ,0.30 , 0.825 ,,,,,,,,,,
0.15 ,0.60 ,0.25 , 0.811 ,,,,,,,,,,
0.15 ,0.65 ,0.20 , 0.766 ,,,,,,,,,,
0.15 ,0.70 ,0.15 , 0.727 ,,,,,,,,,,
0.15 ,0.75 ,0.10 , 0.691 ,,,,,,,,,,
0.15 ,0.80 ,0.05 , 0.658 ,,,,,,,,,,
0.15 ,0.85 ,0.00 , 0.629 ,,,,,,,,,,
0.20 ,0.00 ,0.80 , 0.652 ,,,,,,,,,,
0.20 ,0.05 ,0.75 , 0.666 ,,,,,,,,,,
0.20 ,0.10 ,0.70 , 0.681 ,,,,,,,,,,
0.20 ,0.15 ,0.65 , 0.696 ,,,,,,,,,,
0.20 ,0.20 ,0.60 , 0.712 ,,,,,,,,,,
0.20 ,0.25 ,0.55 , 0.729 ,,,,,,,,,,
0.20 ,0.30 ,0.50 , 0.746 ,,,,,,,,,,
0.20 ,0.35 ,0.45 , 0.765 ,,,,,,,,,,
0.20 ,0.40 ,0.40 , 0.784 ,,,,,,,,,,
0.20 ,0.45 ,0.35 , 0.805 ,,,,,,,,,,
0.20 ,0.50 ,0.30 , 0.826 ,,,,,,,,,,
0.20 ,0.55 ,0.25 , 0.828 ,,,,,,,,,,
0.20 ,0.60 ,0.20 , 0.782 ,,,,,,,,,,
0.20 ,0.65 ,0.15 , 0.740 ,,,,,,,,,,
0.20 ,0.70 ,0.10 , 0.703 ,,,,,,,,,,
0.20 ,0.75 ,0.05 , 0.669 ,,,,,,,,,,
0.20 ,0.80 ,0.00 , 0.639 ,,,,,,,,,,
0.25 ,0.00 ,0.75 , 0.666 ,,,,,,,,,,
0.25 ,0.05 ,0.70 , 0.681 ,,,,,,,,,,
0.25 ,0.10 ,0.65 , 0.696 ,,,,,,,,,,
0.25 ,0.15 ,0.60 , 0.712 ,,,,,,,,,,
0.25 ,0.20 ,0.55 , 0.729 ,,,,,,,,,,
0.25 ,0.25 ,0.50 , 0.747 ,,,,,,,,,,
0.25 ,0.30 ,0.45 , 0.765 ,,,,,,,,,,
0.25 ,0.35 ,0.40 , 0.785 ,,,,,,,,,,
0.25 ,0.40 ,0.35 , 0.805 ,,,,,,,,,,
0.25 ,0.45 ,0.30 , 0.827 ,,,,,,,,,,
0.25 ,0.50 ,0.25 , 0.846 ,,,,,,,,,,
0.25 ,0.55 ,0.20 , 0.797 ,,,,,,,,,,
0.25 ,0.60 ,0.15 , 0.754 ,,,,,,,,,,
0.25 ,0.65 ,0.10 , 0.716 ,,,,,,,,,,
0.25 ,0.70 ,0.05 , 0.681 ,,,,,,,,,,
0.25 ,0.75 ,0.00 , 0.649 ,,,,,,,,,,
0.30 ,0.00 ,0.70 , 0.681 ,,,,,,,,,,
0.30 ,0.05 ,0.65 , 0.697 ,,,,,,,,,,
0.30 ,0.10 ,0.60 , 0.713 ,,,,,,,,,,
0.30 ,0.15 ,0.55 , 0.730 ,,,,,,,,,,
0.30 ,0.20 ,0.50 , 0.747 ,,,,,,,,,,
0.30 ,0.25 ,0.45 , 0.766 ,,,,,,,,,,
0.30 ,0.30 ,0.40 , 0.785 ,,,,,,,,,,
0.30 ,0.35 ,0.35 , 0.806 ,,,,,,,,,,
0.30 ,0.40 ,0.30 , 0.827 ,,,,,,,,,,
0.30 ,0.45 ,0.25 , 0.850 ,,,,,,,,,,
0.30 ,0.50 ,0.20 , 0.814 ,,,,,,,,,,
0.30 ,0.55 ,0.15 , 0.769 ,,,,,,,,,,
0.30 ,0.60 ,0.10 , 0.729 ,,,,,,,,,,
0.30 ,0.65 ,0.05 , 0.693 ,,,,,,,,,,
0.30 ,0.70 ,0.00 , 0.660 ,,,,,,,,,,
0.35 ,0.00 ,0.65 , 0.697 ,,,,,,,,,,
0.35 ,0.05 ,0.60 , 0.713 ,,,,,,,,,,
0.35 ,0.10 ,0.55 , 0.730 ,,,,,,,,,,
0.35 ,0.15 ,0.50 , 0.748 ,,,,,,,,,,
0.35 ,0.20 ,0.45 , 0.766 ,,,,,,,,,,
0.35 ,0.25 ,0.40 , 0.786 ,,,,,,,,,,
0.35 ,0.30 ,0.35 , 0.806 ,,,,,,,,,,
0.35 ,0.35 ,0.30 , 0.828 ,,,,,,,,,,
0.35 ,0.40 ,0.25 , 0.850 ,,,,,,,,,,
0.35 ,0.45 ,0.20 , 0.831 ,,,,,,,,,,
0.35 ,0.50 ,0.15 , 0.784 ,,,,,,,,,,
0.35 ,0.55 ,0.10 , 0.743 ,,,,,,,,,,
0.35 ,0.60 ,0.05 , 0.705 ,,,,,,,,,,
0.35 ,0.65 ,0.00 , 0.672 ,,,,,,,,,,
