slag,gypsum,cement
0.7,0.2,0.1
0.7,0.21,0.09
0.7,0.22,0.08
0.7,0.23,0.07
0.7,0.24,0.06
0.7,0.25,0.05
0.71,0.19,0.1
0.71,0.2,0.09
0.71,0.21,0.08
0.71,0.22,0.07
0.71,0.23,0.06
0.71,0.24,0.05
0.71,0.25,0.04
0.72,0.18,0.1
0.72,0.19,0.09
0.72,0.2,0.08
0.72,0.21,0.07
0.72,0.22,0.06
0.72,0.23,0.05
0.72,0.24,0.04
0.72,0.25,0.03
0.73,0.17,0.1
0.73,0.18,0.09
0.73,0.19,0.08
0.73,0.2,0.07
0.73,0.21,0.06
0.73,0.22,0.05
0.73,0.23,0.04
0.73,0.24,0.03
0.74,0.16,0.1
0.74,0.17,0.09
0.74,0.18,0.08
0.74,0.19,0.07
0.74,0.2,0.06
0.74,0.21,0.05
0.74,0.22,0.04
0.74,0.23,0.03
0.75,0.15,0.1
0.75,0.16,0.09
0.75,0.17,0.08
0.75,0.18,0.07
0.75,0.19,0.06
0.75,0.2,0.05
0.75,0.21,0.04
0.75,0.22,0.03
0.76,0.15,0.09
0.76,0.16,0.08
0.76,0.17,0.07
0.76,0.18,0.06
0.76,0.19,0.05
0.76,0.2,0.04
0.76,0.21,0.03
0.77,0.15,0.08
0.77,0.16,0.07
0.77,0.17,0.06
0.77,0.18,0.05
0.77,0.19,0.04
0.77,0.2,0.03
0.78,0.15,0.07
0.78,0.16,0.06
0.78,0.17,0.05
0.78,0.18,0.04
0.78,0.19,0.03
0.79,0.15,0.06
0.79,0.16,0.05
0.79,0.17,0.04
0.79,0.18,0.03
0.8,0.15,0.05
0.8,0.16,0.04
0.8,0.17,0.03
0.81,0.15,0.04
0.81,0.16,0.03
0.82,0.15,0.03
